id,generation_id,model_id,mark_id,name,body_type,doors_count,updated_at
10381815,9340539,ACURA_NSX,ACURA,Купе,COUPE,2,2025-07-26 16:51:00
10382700,7328087,ACURA_MDX,ACURA,Внедорожник 5 дв.,ALLROAD_5_DOORS,5,2025-07-26 16:51:00
10382711,10382710,BMW_X5,BMW,Внедорожник 5 дв.,ALLROAD_5_DOORS,5,2025-07-26 16:51:00
10393753,3473274,BMW_5ER,BMW,Седан,SEDAN,4,2025-07-26 16:51:00
10393802,10393784,BMW_5ER,BMW,Седан,SEDAN,4,2025-07-26 16:51:00
10393847,3473276,BMW_5ER,BMW,Седан,SEDAN,4,2025-07-26 16:51:00
10397206,10397204,AUDI_V8,AUDI,Седан,SEDAN,4,2025-07-26 16:51:00
10397893,10397204,AUDI_V8,AUDI,Седан Long,SEDAN,4,2025-07-26 16:51:00
10398064,10398058,BMW_4,BMW,Купе,COUPE,2,2025-07-26 16:51:00
10399724,10399721,ALFA_ROMEO_155,ALFA_ROMEO,Седан,SEDAN,4,2025-07-26 16:51:00
10399747,10399745,ALFA_ROMEO_155,ALFA_ROMEO,Седан,SEDAN,4,2025-07-26 16:51:00
10399870,10399867,ALFA_ROMEO_33,ALFA_ROMEO,Седан,SEDAN,4,2025-07-26 16:51:00
10399892,10399867,ALFA_ROMEO_33,ALFA_ROMEO,Универсал 5 дв.,WAGON_5_DOORS,4,2025-07-26 16:51:00
10400021,10400017,ALFA_ROMEO_33,ALFA_ROMEO,Седан,SEDAN,4,2025-07-26 16:51:00
10400043,10400017,ALFA_ROMEO_33,ALFA_ROMEO,Универсал 5 дв.,WAGON_5_DOORS,4,2025-07-26 16:51:00
10400101,10400077,ALFA_ROMEO_33,ALFA_ROMEO,Универсал 5 дв.,WAGON_5_DOORS,5,2025-07-26 16:51:00
10400180,10400178,ALFA_ROMEO_75,ALFA_ROMEO,Седан,SEDAN,4,2025-07-26 16:51:00
10400193,10400192,ALFA_ROMEO_75,ALFA_ROMEO,Седан,SEDAN,4,2025-07-26 16:51:00
10400210,10400209,ALFA_ROMEO_90,ALFA_ROMEO,Седан,SEDAN,4,2025-07-26 16:51:00
10401653,7804040,BMW_7ER,BMW,Седан,SEDAN,4,2025-07-26 16:51:00
10401693,7804040,BMW_7ER,BMW,Седан Long,SEDAN,4,2025-07-26 16:51:00
10403761,8542086,AUDI_S3,AUDI,Хэтчбек 5 дв. Sportback,HATCHBACK_5_DOORS,5,2025-07-26 16:51:00
10404328,3473267,BMW_3ER,BMW,Седан 2 дв.,SEDAN_2_DOORS,2,2025-07-26 16:51:00
10436649,10436648,BMW_5ER,BMW,Седан,SEDAN,4,2025-07-26 16:51:00
10436697,10436648,BMW_5ER,BMW,Универсал 5 дв.,WAGON_5_DOORS,4,2025-07-26 16:51:00
10440696,10436648,BMW_5ER,BMW,Лифтбек Gran Turismo,LIFTBACK,4,2025-07-26 16:51:00
20036525,9346989,AUDI_90,AUDI,Седан,SEDAN,4,2025-07-26 16:51:00
20036544,9346990,AUDI_90,AUDI,Седан,SEDAN,4,2025-07-26 16:51:00
20037133,20037131,AUDI_SQ5,AUDI,Внедорожник 5 дв.,ALLROAD_5_DOORS,5,2025-07-26 16:51:00
20040524,20040521,BMW_M3,BMW,Купе,COUPE,2,2025-07-26 16:51:00
20041321,20040521,BMW_M3,BMW,Кабриолет,CABRIO,2,2025-07-26 16:51:00
20045125,20045121,AUDI_RS7,AUDI,Лифтбек Sportback,LIFTBACK,5,2025-07-26 16:51:00
20045540,20045536,AUDI_RSQ3,AUDI,Внедорожник 5 дв.,ALLROAD_5_DOORS,5,2025-07-26 16:51:00
20047931,20047926,BMW_M5,BMW,Седан,SEDAN,4,2025-07-26 16:51:00
20047937,20047934,BMW_M5,BMW,Седан,SEDAN,4,2025-07-26 16:51:00
20047945,20047934,BMW_M5,BMW,Универсал 5 дв.,WAGON_5_DOORS,4,2025-07-26 16:51:00
20067960,20067958,BMW_2ER,BMW,Купе,COUPE,2,2025-07-26 16:51:00
20071437,20071435,AUDI_A8,AUDI,Седан,SEDAN,4,2025-07-26 16:51:00
20071465,20071435,AUDI_A8,AUDI,Седан Long,SEDAN,4,2025-07-26 16:51:00
20072343,20072341,AUDI_S8,AUDI,Седан,SEDAN,4,2025-07-26 16:51:00
20077120,8542086,AUDI_S3,AUDI,Седан,SEDAN,5,2025-07-26 16:51:00
20079921,10382709,ACURA_MDX,ACURA,Внедорожник 5 дв.,ALLROAD_5_DOORS,5,2025-07-26 16:51:00
20079930,20079928,ACURA_RDX,ACURA,Внедорожник 5 дв.,ALLROAD_5_DOORS,5,2025-07-26 16:51:00
20080523,20080520,ALFA_ROMEO_4C,ALFA_ROMEO,Купе,COUPE,2,2025-07-26 16:51:00
20085324,10398058,BMW_4,BMW,Кабриолет,CABRIO,2,2025-07-26 16:51:00
20098412,7979586,AUDI_A3,AUDI,Кабриолет,CABRIO,2,2025-07-26 16:51:00
20098435,10398058,BMW_4,BMW,Лифтбек Gran Coupe,LIFTBACK,2,2025-07-26 16:51:00
20102729,20102727,BMW_X4,BMW,Внедорожник 5 дв.,ALLROAD_5_DOORS,5,2025-07-26 16:51:00
20106327,20106321,BMW_M4,BMW,Купе,COUPE,2,2025-07-26 16:51:00
20106355,20106348,BMW_M3,BMW,Седан,SEDAN,4,2025-07-26 16:51:00
20113134,8427449,ASTON_MARTIN_V12,ASTON_MARTIN,Родстер Volante,ROADSTER,2,2025-07-26 16:51:00
20152729,20152725,AUDI_S1,AUDI,Хэтчбек 3 дв.,HATCHBACK_3_DOORS,5,2025-07-26 16:51:00
20152734,20152725,AUDI_S1,AUDI,Хэтчбек 5 дв.,HATCHBACK_5_DOORS,5,2025-07-26 16:51:00
20156781,20157564,BMW_2ACTIVETOURER,BMW,Компактвэн,COMPACTVAN,5,2025-07-26 16:51:00
20156799,20156797,BMW_X3,BMW,Внедорожник 5 дв.,ALLROAD_5_DOORS,5,2025-07-26 16:51:00
20158770,20158768,BMW_X6,BMW,Внедорожник 5 дв.,ALLROAD_5_DOORS,5,2025-07-26 16:51:00
20158774,20106321,BMW_M4,BMW,Кабриолет,CABRIO,2,2025-07-26 16:51:00
20164166,8542086,AUDI_S3,AUDI,Кабриолет,CABRIO,5,2025-07-26 16:51:00
20172585,20172473,BMW_02,BMW,Седан 2 дв.,SEDAN_2_DOORS,2,2025-07-26 16:51:00
20172869,20172473,BMW_02,BMW,Хэтчбек 3 дв.,HATCHBACK_3_DOORS,2,2025-07-26 16:51:00
20173046,20172473,BMW_02,BMW,Кабриолет,CABRIO,2,2025-07-26 16:51:00
20173142,20173111,BMW_I8,BMW,Купе,COUPE,2,2025-07-26 16:51:00
20175903,9359468,ALFA_ROMEO_164,ALFA_ROMEO,Седан,SEDAN,4,2025-07-26 16:51:00
20176770,20176738,ALFA_ROMEO_MITO,ALFA_ROMEO,Хэтчбек 3 дв.,HATCHBACK_3_DOORS,3,2025-07-26 16:51:00
20176905,20176878,AUDI_TT,AUDI,Купе,COUPE,2,2025-07-26 16:51:00
20183490,20170381,BMW_Z1,BMW,Родстер,ROADSTER,2,2025-07-26 16:51:00
20183744,20183736,AUDI_A7,AUDI,Лифтбек,LIFTBACK,5,2025-07-26 16:51:00
20183784,20183776,AUDI_S7,AUDI,Лифтбек Sportback,LIFTBACK,5,2025-07-26 16:51:00
20183796,20183788,AUDI_RS7,AUDI,Лифтбек Sportback,LIFTBACK,5,2025-07-26 16:51:00
20184282,20169980,BMW_M6,BMW,Купе,COUPE,2,2025-07-26 16:51:00
20193083,20193056,ACURA_TLX,ACURA,Седан,SEDAN,4,2025-07-26 16:51:00
20235992,20231222,AUDI_TTS,AUDI,Купе,COUPE,2,2025-07-26 16:51:00
20242002,20241875,AUDI_S2,AUDI,Седан,SEDAN,4,2025-07-26 16:51:00
20242098,20241875,AUDI_S2,AUDI,Универсал 5 дв.,WAGON_5_DOORS,4,2025-07-26 16:51:00
20242294,20067958,BMW_2ER,BMW,Кабриолет,CABRIO,2,2025-07-26 16:51:00
20244475,4759774,AUDI_S4,AUDI,Кабриолет,CABRIO,2,2025-07-26 16:51:00
20246013,20246005,AUDI_A6,AUDI,Седан,SEDAN,4,2025-07-26 16:51:00
20246014,20246005,AUDI_A6,AUDI,Универсал 5 дв.,WAGON_5_DOORS,4,2025-07-26 16:51:00
