id,mark_id,name,cyrillic_name,year_from,year_to,class,updated_at
212_212_T01,212,T01,212 Т01,2024,2026,J,2026-02-11 13:29:26
212_212_T10,212,T10,212 Т10,2026,2026,C,2026-02-11 13:29:26
212_EXPLORER_01,212,Explorer 01,Эксплорер 01,2026,2026,J,2026-05-20 19:45:13
ABARTH_124_SPIDER,ABARTH,124 Spider,124 спайдер,2016,2020,S,2025-07-26 16:51:00
ABARTH_500,ABARTH,500,500,2008,2026,A,2025-07-26 16:51:00
ABARTH_595,ABARTH,595,595,2012,2024,A,2026-02-02 13:55:44
ABARTH_600E,ABARTH,600e,600е,2024,2026,B,2025-07-26 16:51:00
ABARTH_695,ABARTH,695,695,2010,2024,A,2026-02-02 13:55:44
ABARTH_FASTBACK,ABARTH,Fastback,Фастбек,2023,2026,B,2026-02-19 00:01:42
ABARTH_PULSE,ABARTH,Pulse,Пульс,2022,2026,B,2026-02-19 00:01:42
ACURA_ADX,ACURA,ADX,АДИкс,2024,2026,C,2025-07-26 16:51:00
ACURA_CDX,ACURA,CDX,сдх,2016,2021,D,2025-07-26 16:51:00
ACURA_CL,ACURA,CL,сл,1996,2003,D,2025-07-26 16:51:00
ACURA_CSX,ACURA,CSX,цсх,2005,2011,C,2025-07-26 16:51:00
ACURA_EL,ACURA,EL,ЕЛ,1997,2005,C,2025-07-26 16:51:00
ACURA_ILX,ACURA,ILX,ИЛХ,2012,2022,D,2025-07-26 16:51:00
ACURA_INTEGRA,ACURA,Integra,интегра,1986,2026,C,2025-07-26 16:51:00
ACURA_LEGEND,ACURA,Legend,легенд,1986,1996,E,2025-07-26 16:51:00
ACURA_MDX,ACURA,MDX,мдх,2000,2026,E,2025-07-26 16:51:00
ACURA_NSX,ACURA,NSX,нсх,1990,2022,S,2025-07-26 16:51:00
ACURA_RDX,ACURA,RDX,РДХ,2006,2026,D,2025-07-26 16:51:00
ACURA_RL,ACURA,RL,рл,1995,2012,E,2025-07-26 16:51:00
ACURA_RLX,ACURA,RLX,рлх,2013,2020,E,2025-07-26 16:51:00
ACURA_RSX,ACURA,RSX,рсх,2001,2006,C,2025-07-26 16:51:00
ACURA_SLX,ACURA,SLX,слх,1995,1999,J,2025-07-26 16:51:00
ACURA_TL,ACURA,TL,тл,1995,2014,E,2025-07-26 16:51:00
ACURA_TLX,ACURA,TLX,тлх,2014,2026,E,2025-07-26 16:51:00
ACURA_TSX,ACURA,TSX,тсх,2003,2014,D,2025-07-26 16:51:00
ACURA_ZDX,ACURA,ZDX,здх,2009,2026,E,2025-07-26 16:51:00
AC_378_GT,AC,378 GT Zagato,378 ДжиТи Загато,2012,2012,S,2025-07-26 16:51:00
AC_ACE,AC,Ace,асе,1992,2000,S,2025-07-26 16:51:00
AC_ACECA,AC,Aceca,Асека,1998,2000,S,2025-07-26 16:51:00
AC_COBRA,AC,Cobra,Кобра,1965,2015,S,2025-07-26 16:51:00
AC_COBRA_GT,AC,Cobra GT,Кобра ГТ,2023,2026,S,2025-07-26 16:51:00
ADAM_REVO,ADAM,Revo,Рево,2005,2006,A,2025-07-26 16:51:00
ADLER_DIPLOMAT,ADLER,Diplomat,Дипломат,1934,1940,F,2025-07-26 16:51:00
ADLER_TRUMPF_JUNIOR,ADLER,Trumpf Junior,Трумф Джуниор,1934,1941,,2025-07-26 16:51:00
AION_HYPER_GT,AION,Hyptec GT (Hyper GT),Хиптек Джи Ти (Гипер Джи Ти),2023,2026,E,2025-07-26 16:51:00
AION_HYPER_HT,AION,Hyptec HT (Hyper HT),Хиптек Аш Ти (Гипер Аш Ти),2023,2026,E,2025-07-26 16:51:00
AION_HYPER_SSR,AION,Hyptec SSR (Hyper SSR),Хиптек Эс Эс Эр (Гипер Эс Эс Эр),2023,2026,S,2025-07-26 16:51:00
AION_HYPTEC_A800,AION,Hyptec A800,Хиптек А800,2026,2026,E,2026-03-12 07:51:24
AION_HYPTEC_HL,AION,Hyptec HL,Хиптек Аш Эл,2025,2026,E,2025-07-26 16:51:00
AION_HYPTEC_S600,AION,Hyptec S600,Хиптек Эс600,2026,2026,D,2026-04-20 21:58:39
AION_I60,AION,I60,И60,2025,2026,C,2025-11-21 14:45:54
AION_LX,AION,LX,ЛХ,2019,2022,D,2025-07-26 16:51:00
AION_LX_PLUS,AION,LX Plus,ЛХ Плюс,2022,2026,D,2025-07-26 16:51:00
AION_N60,AION,N60,н60,2026,2026,D,2026-01-23 14:00:34
AION_RT,AION,RT,РТ,2024,2026,C,2025-07-26 16:51:00
AION_S,AION,S,С,2019,2026,C,2025-07-26 16:51:00
AION_S_PLUS,AION,S Plus,С Плюс,2021,2023,C,2025-07-26 16:51:00
AION_UT,AION,UT,ЮТ,2025,2026,C,2025-07-26 16:51:00
AION_V,AION,V,Ви,2020,2026,C,2025-07-26 16:51:00
AION_V_PLUS,AION,V Plus,В Плюс,2021,2026,C,2026-05-05 08:13:50
AION_Y,AION,Y,Уай,2021,2022,B,2025-07-26 16:51:00
AION_Y_PLUS,AION,Y Plus,Уай Плюс,2022,2026,,2025-07-26 16:51:00
AISTALAND_GT7,AISTALAND,GT7,ГТ7,2026,2026,E,2026-06-07 09:51:18
AITO_M5,AITO,M5,м5,2022,2026,D,2025-07-26 16:51:00
AITO_M6,AITO,M6,М6,2026,2026,E,2026-02-19 00:01:42
AITO_M7,AITO,M7,м7,2022,2026,D,2025-07-26 16:51:00
AITO_M8,AITO,M8,М8,2025,2026,E,2025-07-26 16:51:00
AITO_M9,AITO,M9,м9,2023,2026,E,2025-07-26 16:51:00
AIWAYS_U5,AIWAYS,U5,Ю5,2019,2023,C,2025-07-26 16:51:00
AIWAYS_U6,AIWAYS,U6,Ю6,2021,2023,D,2025-07-26 16:51:00
AIXAM_500,AIXAM,500,500,2000,2004,A,2025-07-26 16:51:00
ALFA_ROMEO_105_115,ALFA_ROMEO,105/115,105/115,1965,1977,S,2025-07-26 16:51:00
ALFA_ROMEO_145,ALFA_ROMEO,145,145,1994,2001,C,2025-07-26 16:51:00
ALFA_ROMEO_146,ALFA_ROMEO,146,146,1995,2001,C,2025-07-26 16:51:00
ALFA_ROMEO_147,ALFA_ROMEO,147,147,2000,2010,C,2025-07-26 16:51:00
ALFA_ROMEO_155,ALFA_ROMEO,155,155,1992,1997,D,2025-07-26 16:51:00
ALFA_ROMEO_156,ALFA_ROMEO,156,156,1997,2007,D,2025-07-26 16:51:00
ALFA_ROMEO_159,ALFA_ROMEO,159,159,2005,2011,D,2025-07-26 16:51:00
ALFA_ROMEO_164,ALFA_ROMEO,164,164,1987,1998,E,2025-07-26 16:51:00
ALFA_ROMEO_166,ALFA_ROMEO,166,166,1998,2007,E,2025-07-26 16:51:00
ALFA_ROMEO_1900,ALFA_ROMEO,1900,1900,1950,1959,S,2025-07-26 16:51:00
ALFA_ROMEO_2600,ALFA_ROMEO,2600,2600,1962,1968,D,2025-07-26 16:51:00
ALFA_ROMEO_33,ALFA_ROMEO,33,33,1983,1994,C,2025-07-26 16:51:00
ALFA_ROMEO_33_STRADALE,ALFA_ROMEO,33 Stradale,33 Страдале,2024,2026,S,2025-07-26 16:51:00
ALFA_ROMEO_4C,ALFA_ROMEO,4C,4с,2013,2020,S,2025-07-26 16:51:00
ALFA_ROMEO_6,ALFA_ROMEO,6,6,1979,1988,E,2025-07-26 16:51:00
ALFA_ROMEO_6C,ALFA_ROMEO,6C,6с,1927,1933,S,2025-07-26 16:51:00
ALFA_ROMEO_75,ALFA_ROMEO,75,75,1985,1992,D,2025-07-26 16:51:00
