id,configuration_id,generation_id,model_id,mark_id,name,group_name,offers_price_from,offers_price_to,is_closed,updated_at
10381815__10381823,10381815,9340539,ACURA_NSX,ACURA,3.0 AT (256 л.с.),,,,0,2025-07-26 16:51:00
10381815__20773930,10381815,9340539,ACURA_NSX,ACURA,3.2 MT (280 л.с.),,,,0,2025-07-26 16:51:00
10381815__4601074,10381815,9340539,ACURA_NSX,ACURA,3.2 MT (294 л.с.),,,,0,2025-07-26 16:51:00
10382700__10382704,10382700,7328087,ACURA_MDX,ACURA,3.7 AT (300 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10382711_21041548_20077531,10382711,10382710,BMW_X5,BMW,35i 3.0 AT (306 л.с.) 4WD,xDrive35i,4599000,4599000,1,2025-07-26 16:51:00
10382711_21041563_10382720,10382711,10382710,BMW_X5,BMW,M50d 3.0d AT (381 л.с.) 4WD,M50d,3015000,5200000,1,2025-07-26 16:51:00
10382711_21041568_20390074,10382711,10382710,BMW_X5,BMW,25d 3.0d AT (218 л.с.) 4WD,xDrive25d Business,3015000,5200000,1,2025-07-26 16:51:00
10382711_21041569_20087949,10382711,10382710,BMW_X5,BMW,30d 3.0d AT (249 л.с.) 4WD,xDrive30d,3015000,5200000,1,2025-07-26 16:51:00
10382711_21041577_20087950,10382711,10382710,BMW_X5,BMW,40d 3.0d AT (313 л.с.) 4WD,xDrive40d,3015000,5200000,1,2025-07-26 16:51:00
10382711_21041586_20679662,10382711,10382710,BMW_X5,BMW,40e 2.0hyb AT (313 л.с.) 4WD,xDrive40e,3990000,3990000,1,2025-07-26 16:51:00
10382711_21074243_20087949,10382711,10382710,BMW_X5,BMW,30d 3.0d AT (249 л.с.) 4WD,xDrive30d Prestige,3015000,5200000,1,2025-07-26 16:51:00
10382711_21074258_20087949,10382711,10382710,BMW_X5,BMW,30d 3.0d AT (249 л.с.) 4WD,xDrive30d M Sport,3015000,5200000,1,2025-07-26 16:51:00
10382711_21074267_20087949,10382711,10382710,BMW_X5,BMW,30d 3.0d AT (249 л.с.) 4WD,xDrive30d Luxury,3015000,5200000,1,2025-07-26 16:51:00
10382711_21074275_20087949,10382711,10382710,BMW_X5,BMW,30d 3.0d AT (249 л.с.) 4WD,xDrive30d Exclusive,3015000,5200000,1,2025-07-26 16:51:00
10382711_21074283_20087949,10382711,10382710,BMW_X5,BMW,30d 3.0d AT (249 л.с.) 4WD,xDrive30d Pure Experience,3015000,5200000,1,2025-07-26 16:51:00
10382711_21074295_20087950,10382711,10382710,BMW_X5,BMW,40d 3.0d AT (313 л.с.) 4WD,xDrive40d M Sport,3015000,5200000,1,2025-07-26 16:51:00
10382711_21074304_20077531,10382711,10382710,BMW_X5,BMW,35i 3.0 AT (306 л.с.) 4WD,xDrive35i Prestige,4599000,4599000,1,2025-07-26 16:51:00
10382711_21074312_20077531,10382711,10382710,BMW_X5,BMW,35i 3.0 AT (306 л.с.) 4WD,xDrive35i Pure Excellence,4599000,4599000,1,2025-07-26 16:51:00
10382711_21074329_20077531,10382711,10382710,BMW_X5,BMW,35i 3.0 AT (306 л.с.) 4WD,xDrive35i Luxury,4599000,4599000,1,2025-07-26 16:51:00
10382711_21150314_20087948,10382711,10382710,BMW_X5,BMW,50i 4.4 AT (450 л.с.) 4WD,xDrive50i,,,1,2025-07-26 16:51:00
10382711_21184913_20087950,10382711,10382710,BMW_X5,BMW,40d 3.0d AT (313 л.с.) 4WD,xDrive40d M Sport Experience,3015000,5200000,1,2025-07-26 16:51:00
10382711__20087952,10382711,10382710,BMW_X5,BMW,25d 2.0d AT (218 л.с.),,,,0,2025-07-26 16:51:00
10382711__20087955,10382711,10382710,BMW_X5,BMW,25d 2.0d AT (218 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10382711__20390093,10382711,10382710,BMW_X5,BMW,30d 3.0d AT (258 л.с.) 4WD,,3015000,5200000,0,2025-07-26 16:51:00
10382711__20678294,10382711,10382710,BMW_X5,BMW,25d 2.0d AT (231 л.с.),,,,0,2025-07-26 16:51:00
10382711__20678309,10382711,10382710,BMW_X5,BMW,25d 2.0d AT (231 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10382711__21665133,10382711,10382710,BMW_X5,BMW,35i 3.0 AT (304 л.с.),,,,0,2025-07-26 16:51:00
10382711__23556090,10382711,10382710,BMW_X5,BMW,35d 3.0d AT (258 л.с.) 4WD,,3015000,5200000,0,2025-07-26 16:51:00
10393753__10393781,10393753,3473274,BMW_5ER,BMW,518 1.8 MT (90 л.с.),,,,0,2025-07-26 16:51:00
10393753__10393787,10393753,3473274,BMW_5ER,BMW,520 2.0 MT (115 л.с.),,,,0,2025-07-26 16:51:00
10393753__10393790,10393753,3473274,BMW_5ER,BMW,525i 2.5 MT (146 л.с.),,,,0,2025-07-26 16:51:00
10393753__10393795,10393753,3473274,BMW_5ER,BMW,528 2.8 MT (165 л.с.),,,,0,2025-07-26 16:51:00
10393753__20389867,10393753,3473274,BMW_5ER,BMW,520i 2.0 MT (125 л.с.),,,,0,2025-07-26 16:51:00
10393753__20389870,10393753,3473274,BMW_5ER,BMW,520i 2.0 MT (131 л.с.),,,,0,2025-07-26 16:51:00
10393753__20389871,10393753,3473274,BMW_5ER,BMW,518 1.8 MT (102 л.с.),,,,0,2025-07-26 16:51:00
10393753__20389875,10393753,3473274,BMW_5ER,BMW,518 5MT 1.8 MT (90 л.с.),,,,0,2025-07-26 16:51:00
10393753__20389894,10393753,3473274,BMW_5ER,BMW,520i 2.0 MT (122 л.с.),,,,0,2025-07-26 16:51:00
10393753__20389895,10393753,3473274,BMW_5ER,BMW,528 2.8 MT (182 л.с.),,,,0,2025-07-26 16:51:00
10393753__20389899,10393753,3473274,BMW_5ER,BMW,518 2.0 MT (109 л.с.),,,,0,2025-07-26 16:51:00
10393802__10393817,10393802,10393784,BMW_5ER,BMW,518 1.8 MT (90 л.с.),,,,0,2025-07-26 16:51:00
10393802__10393822,10393802,10393784,BMW_5ER,BMW,520 2.0 MT (115 л.с.),,,,0,2025-07-26 16:51:00
10393802__10393830,10393802,10393784,BMW_5ER,BMW,520i 2.0 MT (122 л.с.),,,,0,2025-07-26 16:51:00
10393802__10393833,10393802,10393784,BMW_5ER,BMW,525i 2.5 MT (150 л.с.),,,,0,2025-07-26 16:51:00
10393802__20389854,10393802,10393784,BMW_5ER,BMW,528i 2.8 MT (177 л.с.),,,,0,2025-07-26 16:51:00
10393802__20389858,10393802,10393784,BMW_5ER,BMW,518 1.8 MT (102 л.с.),,,,0,2025-07-26 16:51:00
10393802__20389861,10393802,10393784,BMW_5ER,BMW,518 1.8 MT (90 л.с.),,,,0,2025-07-26 16:51:00
10393802__20389878,10393802,10393784,BMW_5ER,BMW,520i 2.0 MT (125 л.с.),,,,0,2025-07-26 16:51:00
10393802__20389879,10393802,10393784,BMW_5ER,BMW,535i 3.4 MT (218 л.с.),,,,0,2025-07-26 16:51:00
10393802__20389881,10393802,10393784,BMW_5ER,BMW,528 2.8 MT (165 л.с.),,,,0,2025-07-26 16:51:00
10393802__20389882,10393802,10393784,BMW_5ER,BMW,528i 2.8 MT (184 л.с.),,,,0,2025-07-26 16:51:00
10393802__20389893,10393802,10393784,BMW_5ER,BMW,528 2.8 MT (170 л.с.),,,,0,2025-07-26 16:51:00
10393802__20389900,10393802,10393784,BMW_5ER,BMW,518 2.0 MT (109 л.с.),,,,0,2025-07-26 16:51:00
10393802__20494810,10393802,10393784,BMW_5ER,BMW,518i 2.0 MT (125 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511111,10393802,10393784,BMW_5ER,BMW,518 1.8 AT (90 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511128,10393802,10393784,BMW_5ER,BMW,520 2.0 AT (115 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511155,10393802,10393784,BMW_5ER,BMW,520i 2.0 AT (125 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511175,10393802,10393784,BMW_5ER,BMW,525i 2.5 AT (150 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511200,10393802,10393784,BMW_5ER,BMW,528 2.8 AT (170 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511278,10393802,10393784,BMW_5ER,BMW,530i 3.0 AT (175 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511323,10393802,10393784,BMW_5ER,BMW,530i 3.0 MT (178 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511349,10393802,10393784,BMW_5ER,BMW,530i 3.0 AT (178 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511371,10393802,10393784,BMW_5ER,BMW,520i 2.0 AT (122 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511405,10393802,10393784,BMW_5ER,BMW,528i 2.8 AT (177 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511443,10393802,10393784,BMW_5ER,BMW,528i 2.8 AT (184 л.с.),,,,0,2025-07-26 16:51:00
10393802__21511483,10393802,10393784,BMW_5ER,BMW,518i 1.8 AT (100 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291324,10393847,3473276,BMW_5ER,BMW,518 1.8 MT (105 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291325,10393847,3473276,BMW_5ER,BMW,518 1.8 MT (102 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291326,10393847,3473276,BMW_5ER,BMW,525i 2.5 AT (150 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291327,10393847,3473276,BMW_5ER,BMW,535i 3.4 MT (185 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291328,10393847,3473276,BMW_5ER,BMW,525E 2.7 MT (129 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291329,10393847,3473276,BMW_5ER,BMW,518 1.8 MT (90 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291330,10393847,3473276,BMW_5ER,BMW,535i 3.4 MT (192 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291331,10393847,3473276,BMW_5ER,BMW,525E 2.7 AT (125 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291332,10393847,3473276,BMW_5ER,BMW,525E 2.7 MT (125 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291333,10393847,3473276,BMW_5ER,BMW,535i 3.4 AT (218 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291334,10393847,3473276,BMW_5ER,BMW,528i 2.8 MT (184 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291335,10393847,3473276,BMW_5ER,BMW,525i 2.5 MT (150 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291336,10393847,3473276,BMW_5ER,BMW,525E 2.7 MT (122 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291337,10393847,3473276,BMW_5ER,BMW,520i 2.0 AT (125 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291338,10393847,3473276,BMW_5ER,BMW,520i 2.0 AT (129 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291339,10393847,3473276,BMW_5ER,BMW,535i 3.4 MT (218 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291340,10393847,3473276,BMW_5ER,BMW,524d 2.4d AT (115 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291341,10393847,3473276,BMW_5ER,BMW,520i 2.0 MT (129 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291342,10393847,3473276,BMW_5ER,BMW,524d 2.4d MT (86 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291343,10393847,3473276,BMW_5ER,BMW,535i 3.4 AT (192 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291344,10393847,3473276,BMW_5ER,BMW,528i 2.8 AT (184 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291345,10393847,3473276,BMW_5ER,BMW,535i 3.4 AT (185 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291346,10393847,3473276,BMW_5ER,BMW,520i 2.0 MT (125 л.с.),,,,0,2025-07-26 16:51:00
10393847__21291347,10393847,3473276,BMW_5ER,BMW,524d 2.4d MT (115 л.с.),,,,0,2025-07-26 16:51:00
10397206__10397215,10397206,10397204,AUDI_V8,AUDI,3.6 MT (250 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10397206__10397216,10397206,10397204,AUDI_V8,AUDI,3.6 AT (250 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10397206__10397219,10397206,10397204,AUDI_V8,AUDI,4.2 MT (280 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10397206__10397220,10397206,10397204,AUDI_V8,AUDI,4.2 AT (280 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10397206__20389440,10397206,10397204,AUDI_V8,AUDI,3.6 MT (245 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10397206__20389458,10397206,10397204,AUDI_V8,AUDI,3.6 AT (245 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10397893__10397898,10397893,10397204,AUDI_V8,AUDI,4.2 MT (280 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10397893__10397899,10397893,10397204,AUDI_V8,AUDI,4.2 AT (280 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10397893__21255048,10397893,10397204,AUDI_V8,AUDI,3.6 AT (250 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064_20085951_20085950,10398064,10398058,BMW_4,BMW,420i 2.0 AT (184 л.с.),420i,,,1,2025-07-26 16:51:00
10398064_20708256_20755219,10398064,10398058,BMW_4,BMW,430i xDrive 2.0 AT (249 л.с.) 4WD,430i xDrive,,,1,2025-07-26 16:51:00
10398064_20708275_20680405,10398064,10398058,BMW_4,BMW,420d 2.0d AT (190 л.с.),420d,,,1,2025-07-26 16:51:00
10398064_20708284_20680457,10398064,10398058,BMW_4,BMW,420d xDrive 2.0d AT (190 л.с.) 4WD,420d xDrive,,,1,2025-07-26 16:51:00
10398064_20765181_20755408,10398064,10398058,BMW_4,BMW,440i xDrive 3.0 AT (326 л.с.) 4WD,440i xDrive,,,1,2025-07-26 16:51:00
10398064_20857498_20102920,10398064,10398058,BMW_4,BMW,420i xDrive 2.0 AT (184 л.с.) 4WD,420i xDrive,,,1,2025-07-26 16:51:00
10398064__10398110,10398064,10398058,BMW_4,BMW,428i xDrive 2.0 MT (245 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__10398114,10398064,10398058,BMW_4,BMW,428i xDrive 2.0 AT (245 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__10398122,10398064,10398058,BMW_4,BMW,435i xDrive 3.0 MT (306 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__10398126,10398064,10398058,BMW_4,BMW,435i xDrive 3.0 AT (306 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__20051548,10398064,10398058,BMW_4,BMW,420d 2.0d MT (184 л.с.),,,,0,2025-07-26 16:51:00
10398064__20051549,10398064,10398058,BMW_4,BMW,420d 2.0d AT (184 л.с.),,,,0,2025-07-26 16:51:00
10398064__20085949,10398064,10398058,BMW_4,BMW,420i 2.0 MT (184 л.с.),,,,0,2025-07-26 16:51:00
10398064__20102921,10398064,10398058,BMW_4,BMW,420d xDrive 2.0d AT (184 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__20389859,10398064,10398058,BMW_4,BMW,428i 2.0 MT (245 л.с.),,,,0,2025-07-26 16:51:00
10398064__20389862,10398064,10398058,BMW_4,BMW,435i 3.0 AT (306 л.с.),,,,0,2025-07-26 16:51:00
10398064__20389863,10398064,10398058,BMW_4,BMW,420i xDrive 2.0 MT (184 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__20389868,10398064,10398058,BMW_4,BMW,428i 2.0 AT (245 л.с.),,,,0,2025-07-26 16:51:00
10398064__20389874,10398064,10398058,BMW_4,BMW,435i 3.0 MT (306 л.с.),,,,0,2025-07-26 16:51:00
10398064__20389877,10398064,10398058,BMW_4,BMW,430d 3.0d AT (258 л.с.),,,,0,2025-07-26 16:51:00
10398064__20389885,10398064,10398058,BMW_4,BMW,425d 2.0d AT (218 л.с.),,,,0,2025-07-26 16:51:00
10398064__20389886,10398064,10398058,BMW_4,BMW,425d 2.0d MT (218 л.с.),,,,0,2025-07-26 16:51:00
10398064__20389888,10398064,10398058,BMW_4,BMW,420d xDrive 2.0d MT (184 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__20389901,10398064,10398058,BMW_4,BMW,435d xDrive 3.0d AT (313 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__20389903,10398064,10398058,BMW_4,BMW,430d xDrive 3.0d AT (258 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__20680331,10398064,10398058,BMW_4,BMW,418d 2.0d MT (150 л.с.),,,,0,2025-07-26 16:51:00
10398064__20680351,10398064,10398058,BMW_4,BMW,418d 2.0d AT (150 л.с.),,,,0,2025-07-26 16:51:00
10398064__20680382,10398064,10398058,BMW_4,BMW,420d 2.0d MT (190 л.с.),,,,0,2025-07-26 16:51:00
10398064__20680439,10398064,10398058,BMW_4,BMW,420d xDrive 2.0d MT (190 л.с.) 4WD,,,,0,2025-07-26 16:51:00
10398064__20755077,10398064,10398058,BMW_4,BMW,420i 2.0 MT (184 л.с.),,,,0,2025-07-26 16:51:00
